Nome,Estrela,Pais,Time,Idade,Posicao,Titular,Top Mundial,Lado,Caracteristica 1,Caracteristica 2,Extra
José Manuel Nito,False,5,1º de Agosto,18,0,True,False,Esquerdo,0,3,aid=0 hash=7 sid=0 tid=0
Simão Calado,False,5,1º de Agosto,17,0,False,False,Direito,3,1,aid=0 hash=10 sid=0 tid=0
Silvio Figueiredo,False,5,1º de Agosto,17,1,True,False,Direito,6,11,aid=0 hash=10 sid=0 tid=0
Damião Lopes,False,5,1º de Agosto,17,1,True,False,Direito,10,13,aid=0 hash=8 sid=0 tid=0
Henrique,False,5,1º de Agosto,17,1,False,False,Esquerdo,6,11,aid=0 hash=8 sid=0 tid=0
Walter Abreu,False,5,1º de Agosto,16,2,True,False,Direito,7,10,aid=0 hash=7 sid=0 tid=0
Isaías Jorge,False,5,1º de Agosto,19,2,True,False,Direito,7,5,aid=0 hash=10 sid=0 tid=0
Alberto Nascimento,False,5,1º de Agosto,19,2,False,False,Esquerdo,7,10,aid=0 hash=10 sid=0 tid=0
Ananias,False,5,1º de Agosto,18,3,True,False,Esquerdo,10,12,aid=0 hash=7 sid=0 tid=0
Edilson Gilberto,False,5,1º de Agosto,17,3,True,False,Direito,7,10,aid=0 hash=10 sid=0 tid=0
Dani Mingas,False,5,1º de Agosto,19,3,True,False,Esquerdo,7,10,aid=0 hash=9 sid=0 tid=0
José Antonio,False,5,1º de Agosto,19,3,False,False,Esquerdo,10,12,aid=0 hash=10 sid=0 tid=0
Jean-Claude Miguel,False,5,1º de Agosto,19,4,True,False,Esquerdo,8,9,aid=0 hash=10 sid=0 tid=0
Valdo Barros,False,5,1º de Agosto,16,4,True,False,Esquerdo,9,13,aid=0 hash=9 sid=0 tid=0
Fernando Macedo,False,5,1º de Agosto,19,4,False,False,Esquerdo,8,11,aid=0 hash=10 sid=0 tid=0
Almir Saad,False,29,4 de Julho,19,0,True,False,Direito,1,2,aid=0 hash=8 sid=0 tid=0
Hélio Bernardes,False,29,4 de Julho,17,0,False,False,Direito,2,0,aid=0 hash=9 sid=0 tid=0
Juarez Pinho,False,29,4 de Julho,18,1,True,False,Direito,10,6,aid=0 hash=8 sid=0 tid=0
Vander Escobar,False,29,4 de Julho,18,1,True,False,Direito,6,10,aid=0 hash=7 sid=0 tid=0
Dorival,False,29,4 de Julho,19,1,False,False,Direito,10,11,aid=0 hash=9 sid=0 tid=0
Ado Schmitt,False,29,4 de Julho,19,2,True,False,Esquerdo,7,10,aid=0 hash=8 sid=0 tid=0
Jefferson Klein,False,29,4 de Julho,19,2,True,False,Esquerdo,7,12,aid=0 hash=10 sid=0 tid=0
Januário,False,29,4 de Julho,18,2,False,False,Esquerdo,7,12,aid=0 hash=8 sid=0 tid=0
Maycon Rego,False,29,4 de Julho,16,3,True,False,Direito,10,12,aid=0 hash=7 sid=0 tid=0
Emerson Moura,False,29,4 de Julho,19,3,True,False,Direito,4,9,aid=0 hash=10 sid=0 tid=0
Horacio Daniel,False,29,4 de Julho,17,3,True,False,Direito,7,11,aid=0 hash=10 sid=0 tid=0
Luís Bessler,False,29,4 de Julho,18,3,False,False,Esquerdo,4,11,aid=0 hash=9 sid=0 tid=0
Luigi,False,29,4 de Julho,19,4,True,False,Direito,8,9,aid=0 hash=9 sid=0 tid=0
Carlinhos Teixeira,False,29,4 de Julho,18,4,True,False,Direito,9,5,aid=0 hash=8 sid=0 tid=0
Adão Bulcão,False,29,4 de Julho,17,4,False,False,Esquerdo,13,8,aid=0 hash=7 sid=0 tid=0
Demison,False,29,ABC,20,0,True,False,Esquerdo,3,1,aid=0 hash=9 sid=0 tid=0
Thiago Flores,False,29,ABC,19,0,False,False,Direito,0,2,aid=0 hash=3 sid=0 tid=0
Nicolas,False,29,ABC,19,1,True,False,Esquerdo,6,11,aid=0 hash=3 sid=0 tid=0
Gustavo Daniel,False,29,ABC,18,2,True,False,Esquerdo,7,9,aid=0 hash=8 sid=0 tid=0
Jonas,False,29,ABC,16,2,True,False,Direito,7,10,aid=0 hash=1 sid=0 tid=0
Douglas,False,29,ABC,16,2,False,False,Esquerdo,7,13,aid=0 hash=5 sid=0 tid=0
Italo,False,29,ABC,19,2,False,False,Direito,7,12,aid=0 hash=8 sid=0 tid=0
Gabriel Figueiredo,False,29,ABC,17,3,True,False,Esquerdo,11,9,aid=0 hash=4 sid=0 tid=0
Oziel,False,29,ABC,17,3,True,False,Esquerdo,7,13,aid=0 hash=5 sid=0 tid=0
Bebeto,False,29,ABC,17,3,True,False,Direito,10,11,aid=0 hash=6 sid=0 tid=0
Pedro Rhyan,False,29,ABC,18,3,True,False,Direito,11,9,aid=0 hash=1 sid=0 tid=0
Luan Delgado,False,29,ABC,20,3,False,False,Esquerdo,11,10,aid=0 hash=1 sid=0 tid=0
Wemerson,False,29,ABC,17,3,False,False,Direito,11,10,aid=0 hash=5 sid=0 tid=0
Fábio,False,29,ABC,18,4,True,False,Esquerdo,9,12,aid=0 hash=2 sid=0 tid=0
Gil,False,29,ABC,17,4,True,False,Esquerdo,13,12,aid=0 hash=6 sid=0 tid=0
Aloysius Edwards,False,141,Abia Warriors,16,0,True,False,Esquerdo,0,1,aid=0 hash=7 sid=0 tid=0
Sunny Okafor,False,141,Abia Warriors,16,0,False,False,Direito,3,1,aid=0 hash=8 sid=0 tid=0
Richard Aluko,False,141,Abia Warriors,18,1,True,False,Esquerdo,10,9,aid=0 hash=7 sid=0 tid=0
Emmanuel Adeshina,False,141,Abia Warriors,17,1,True,False,Direito,6,10,aid=0 hash=8 sid=0 tid=0
Emeka,False,141,Abia Warriors,16,1,False,False,Esquerdo,10,13,aid=0 hash=8 sid=0 tid=0
Robert,False,141,Abia Warriors,19,2,True,False,Direito,7,12,aid=0 hash=8 sid=0 tid=0
Abel Babangida,False,141,Abia Warriors,17,2,True,False,Direito,7,10,aid=0 hash=8 sid=0 tid=0
Baba Okoye,False,141,Abia Warriors,16,2,False,False,Direito,7,12,aid=0 hash=10 sid=0 tid=0
Stephen Anichebe,False,141,Abia Warriors,18,3,True,False,Esquerdo,11,9,aid=0 hash=9 sid=0 tid=0
Anthony Babatunde,False,141,Abia Warriors,18,3,True,False,Direito,4,13,aid=0 hash=9 sid=0 tid=0
Andy,False,141,Abia Warriors,17,3,True,False,Esquerdo,9,4,aid=0 hash=9 sid=0 tid=0
Simeon Mark,False,141,Abia Warriors,19,3,False,False,Esquerdo,8,11,aid=0 hash=9 sid=0 tid=0
Joe Moses,False,141,Abia Warriors,16,4,True,False,Direito,8,11,aid=0 hash=9 sid=0 tid=0
Jeff Simon,False,141,Abia Warriors,17,4,True,False,Direito,13,8,aid=0 hash=7 sid=0 tid=0
Kenneth Chukwunyelu,False,141,Abia Warriors,17,4,False,False,Direito,9,8,aid=0 hash=9 sid=0 tid=0
René Díaz,False,198,Puerto Cabello,17,0,True,False,Esquerdo,3,1,aid=0 hash=9 sid=0 tid=0
Frank Quevedo,False,198,Puerto Cabello,16,0,False,False,Direito,2,0,aid=0 hash=8 sid=0 tid=0
Rômulo Mejías,False,198,Puerto Cabello,19,1,True,False,Direito,10,6,aid=0 hash=9 sid=0 tid=0
Juan Bautista,False,198,Puerto Cabello,19,1,True,False,Direito,6,11,aid=0 hash=8 sid=0 tid=0
Giancarlo Palacios,False,198,Puerto Cabello,19,1,False,False,Direito,6,13,aid=0 hash=9 sid=0 tid=0
Mauricio Flores,False,198,Puerto Cabello,16,2,True,False,Direito,7,12,aid=0 hash=10 sid=0 tid=0
Julio Márquez,False,198,Puerto Cabello,18,2,True,False,Direito,5,12,aid=0 hash=10 sid=0 tid=0
Jonny,False,198,Puerto Cabello,17,2,False,False,Esquerdo,7,10,aid=0 hash=10 sid=0 tid=0
José Luis,False,198,Puerto Cabello,19,3,True,False,Esquerdo,11,9,aid=0 hash=8 sid=0 tid=0
Bernardo Chávez,False,198,Puerto Cabello,16,3,True,False,Esquerdo,7,13,aid=0 hash=7 sid=0 tid=0
Ivan Guillén,False,198,Puerto Cabello,17,3,True,False,Esquerdo,10,12,aid=0 hash=9 sid=0 tid=0
Miguel Ángel,False,198,Puerto Cabello,16,3,False,False,Esquerdo,10,13,aid=0 hash=10 sid=0 tid=0
Adrián Romero,False,198,Puerto Cabello,17,4,True,False,Direito,8,11,aid=0 hash=8 sid=0 tid=0
Claudio,False,198,Puerto Cabello,17,4,True,False,Esquerdo,9,5,aid=0 hash=10 sid=0 tid=0
Alexander Chacín,False,198,Puerto Cabello,18,4,False,False,Direito,9,5,aid=0 hash=9 sid=0 tid=0
José Teixeira,False,5,Académica Lobito,16,0,True,False,Esquerdo,3,1,aid=0 hash=9 sid=0 tid=0
Geraldo Figueiredo,False,5,Académica Lobito,18,0,False,False,Esquerdo,0,3,aid=0 hash=7 sid=0 tid=0
Walter Machado,False,5,Académica Lobito,19,1,True,False,Esquerdo,6,10,aid=0 hash=8 sid=0 tid=0
Samuel Lourenço,False,5,Académica Lobito,19,1,True,False,Esquerdo,10,11,aid=0 hash=7 sid=0 tid=0
Afonso Santos,False,5,Académica Lobito,18,1,False,False,Direito,10,13,aid=0 hash=9 sid=0 tid=0
Américo Macedo,False,5,Académica Lobito,19,2,True,False,Esquerdo,7,9,aid=0 hash=8 sid=0 tid=0
Hélder Alfredo,False,5,Académica Lobito,18,2,True,False,Direito,7,13,aid=0 hash=10 sid=0 tid=0
Vasco,False,5,Académica Lobito,17,2,False,False,Esquerdo,7,10,aid=0 hash=9 sid=0 tid=0
Hugo,False,5,Académica Lobito,19,3,True,False,Esquerdo,9,11,aid=0 hash=8 sid=0 tid=0
Boaventura,False,5,Académica Lobito,16,3,True,False,Esquerdo,7,11,aid=0 hash=7 sid=0 tid=0
Flávio Cruz,False,5,Académica Lobito,16,3,True,False,Esquerdo,9,4,aid=0 hash=10 sid=0 tid=0
José Maria,False,5,Académica Lobito,19,3,False,False,Direito,7,9,aid=0 hash=10 sid=0 tid=0
Jonas Romero,False,5,Académica Lobito,18,4,True,False,Direito,8,9,aid=0 hash=8 sid=0 tid=0
Olímpio Romero,False,5,Académica Lobito,16,4,True,False,Esquerdo,9,5,aid=0 hash=10 sid=0 tid=0
Jean-Jacques Lourenço,False,5,Académica Lobito,16,4,False,False,Direito,8,11,aid=0 hash=10 sid=0 tid=0
Eddie Manu,False,75,Accra Lions,18,0,True,False,Esquerdo,0,2,aid=0 hash=7 sid=0 tid=0
Mark Dwomoh,False,75,Accra Lions,17,0,False,False,Esquerdo,0,3,aid=0 hash=7 sid=0 tid=0
Benjamin Collins,False,75,Accra Lions,19,1,True,False,Direito,10,6,aid=0 hash=7 sid=0 tid=0
Aleksandr Quartey,False,75,Accra Lions,17,1,True,False,Direito,6,11,aid=0 hash=9 sid=0 tid=0
Kelvin Thompson,False,75,Accra Lions,17,1,False,False,Direito,6,10,aid=0 hash=7 sid=0 tid=0
Nelson Aziz,False,75,Accra Lions,17,2,True,False,Esquerdo,7,13,aid=0 hash=7 sid=0 tid=0
George,False,75,Accra Lions,19,2,True,False,Direito,7,9,aid=0 hash=8 sid=0 tid=0
Nathaniel Lawson,False,75,Accra Lions,18,2,False,False,Direito,7,10,aid=0 hash=8 sid=0 tid=0
Gideon,False,75,Accra Lions,18,3,True,False,Direito,10,11,aid=0 hash=7 sid=0 tid=0
Rocky Brew,False,75,Accra Lions,16,3,True,False,Direito,4,8,aid=0 hash=7 sid=0 tid=0
Ablade Dickson,False,75,Accra Lions,19,3,True,False,Esquerdo,4,13,aid=0 hash=7 sid=0 tid=0
Evans Mensah,False,75,Accra Lions,17,3,False,False,Direito,7,11,aid=0 hash=9 sid=0 tid=0
Andrew Collins,False,75,Accra Lions,18,4,True,False,Direito,9,5,aid=0 hash=9 sid=0 tid=0
Abderramão Affutu,False,75,Accra Lions,17,4,True,False,Direito,5,13,aid=0 hash=9 sid=0 tid=0
Abderramão Tetteh,False,75,Accra Lions,17,4,False,False,Esquerdo,8,11,aid=0 hash=10 sid=0 tid=0
Guillermo Castañeda,False,79,Achuapa,18,0,True,False,Esquerdo,0,1,aid=0 hash=10 sid=0 tid=0
Carlos Mejía,False,79,Achuapa,19,0,False,False,Esquerdo,3,1,aid=0 hash=9 sid=0 tid=0
Claudio Barros,False,79,Achuapa,18,1,True,False,Direito,6,10,aid=0 hash=10 sid=0 tid=0
Ricardo Yang,False,79,Achuapa,17,1,True,False,Direito,6,10,aid=0 hash=9 sid=0 tid=0
Kevin Girard,False,79,Achuapa,16,1,False,False,Esquerdo,10,13,aid=0 hash=7 sid=0 tid=0
Miguel Ángel,False,79,Achuapa,18,2,True,False,Esquerdo,7,10,aid=0 hash=7 sid=0 tid=0
Sergio Fernandez,False,79,Achuapa,17,2,True,False,Esquerdo,7,12,aid=0 hash=8 sid=0 tid=0
Erick Whitbeck,False,79,Achuapa,19,2,False,False,Direito,7,5,aid=0 hash=8 sid=0 tid=0
Álvaro Gordillo,False,79,Achuapa,16,3,True,False,Direito,9,4,aid=0 hash=8 sid=0 tid=0
Andrés Raudales,False,79,Achuapa,18,3,True,False,Esquerdo,7,10,aid=0 hash=8 sid=0 tid=0
Erick,False,79,Achuapa,16,3,True,False,Direito,7,9,aid=0 hash=8 sid=0 tid=0
